No,Provinsi,UMP,IPN
1,Aceh,"3,165,031.00",72.18
2,Bali,"2,494,000.00",75.69
3,Bangka Belitung,"3,230,023.66",71.69
4,Banten,"2,460,996.54",72.72
5,Bengkulu,"2,215,000.00",71.64
6,DI. Yogyakarta,"1,765,000.00",80.22
7,DKI Jakarta,"4,416,186.55",81.11
8,Gorontalo,"2,788,826.00",69.00
9,Jambi,"2,630,162.13",71.63
10,Jawa Barat,"1,810,351.36",72.45
11,Jawa Tengah,"1,798,979.12",72.16
12,Jawa Timur,"1,868,777.08",72.14
13,Kalimantan Barat,"2,399,698.65",67.90
14,Kalimantan Selatan,"2,877,448.59",71.28
15,Kalimantan Tengah,"2,903,144.70",71.25
16,Kalimantan Timur,"2,981,378.72",76.88
17,Kalimantan Utara,"3,000,804.00",71.19
18,Kepulauan Riau,"3,005,460.00",75.79
19,Lampung,"2,432,001.57",69.90
20,Maluku,"2,604,961.00",69.71
21,Maluku Utara,"2,721,530.00",68.76
22,Nusa Tenggara Barat,"2,183,883.00",68.65
23,Nusa Tenggara Timur,"1,950,000.00",65.28
24,Papua,"3,516,700.00",60.62
25,Papua Barat,"3,134,600.00",65.26
26,Riau,"2,888,564.01",72.94
27,Sulawesi Barat,"2,678,863.10",66.36
28,Sulawesi Selatan,"3,165,876.00",72.24
29,Sulawesi Tengah,"2,303,711.00",69.79
30,Sulawesi Tenggara,"2,552,014.52",71.66
31,Sulawesi Utara,"3,310,723.00",73.30
32,Sumatera Barat,"2,484,041.00",72.65
33,Sumatera Selatan,"3,144,446.00",70.24
34,Sumatera Utara,"2,499,423.06",72.00
